Site Name,Latitude,Longitude,Altitude,Sound Label,Audio,Photo,Marker
Stables,1.1147,37.460833,851,Elephant(Ltome)-Rampaging(Aoro),assets/sounds/elephant-rampaging.wav,assets/photos/stables.jpg,assets/markers/elephant.png
Reteti House - New Water Point,1.1127,37.4543,845.1,Elephant(Ltome)-Bathing(Aituko),assets/sounds/elephant-splashing.wav,assets/photos/reteti-house-water-point.jpg,assets/markers/elephant.png
Releasing Pan,1.119,37.4706,841.8,,,,assets/markers/elephant.png
Nelmasuuti 3,1.1173,37.4669,841.8,,,,assets/markers/elephant.png
Ltepes Corridor,1.1136,37.47,805.1,Hyena(Lkonoi)-(NOT CONFIRMED!),assets/sounds/lkonoi.wav,assets/photos/ltepes-corridor.jpg,assets/markers/hyena.png
Elephant Rock 4 - New Site,1.1145,37.469,840.8,,,,assets/markers/elephant.png
Release Corridor 2,1.1144,37.476,812.5,,,,assets/markers/elephant.png
Nkutoto,1.1177,37.47,841.8,,,,assets/markers/elephant.png
Nelmasuuti 5,1.1164,37.4691,806.2,,,,assets/markers/elephant.png
Lchura,1.1124,37.4741,798.5,,,,assets/markers/elephant.png
Safaricom Rock,1.1185,37.4634,854.2,Baboon(Lotim)-Frightened(Nkuureisho),assets/sounds/baboon-frightened.wav,assets/photos/safaricom-rock.jpg,assets/markers/baboon.png
Safaricom Rock 2,1.1159,37.4647,841.8,,,,assets/markers/elephant.png
Ltorot Lolgiria,1.1151,37.4648,841.8,,,,assets/markers/elephant.png
Ltorot Lolgiria 2,1.1135,37.4649,841.8,,,,assets/markers/elephant.png
Nelmasuuti 2,1.1172,37.4659,841.8,,,,assets/markers/elephant.png
Nelmasuuti 1,1.1177,37.4655,841.8,,,,assets/markers/elephant.png
Lawa2,1.1184,37.4568,841.8,,,,assets/markers/baboon.png
Lawa,1.1185,37.456,841.8,,,,assets/markers/baboon.png
Lawa4,1.1201,37.4575,864.6,,,,assets/markers/baboon.png
Soito Naarok,1.1203,37.4588,868.1,,,,assets/markers/elephant.png
Soito Naarok Waterpoint,1.1199,37.46,841.8,,,,assets/markers/elephant.png
Football Field Resting Place,1.1123,37.4604,836.2,,,,assets/markers/elephant.png
Reteti Old Road,1.1118,37.4613,826.7,,,,assets/markers/hyena.png
Nkapune Rock Cave,1.1055,37.4599,809.7,,,,assets/markers/hyena.png
Reteti House Road Corridor,1.1071,37.4568,831.3,,,,assets/markers/hyena.png
Reteti House Lawai Resting,1.111,37.4543,852.8,Leopard(Lowouru Keri)- (NOT CONFIRMED!),assets/sounds/leopard.wav,assets/photos/reteti-house-lawai-resting.jpg,assets/markers/leopard.png
Nelmasuuti 6,1.1168,37.4677,800.8,,,,assets/markers/elephant.png
Ltepes Corridor 2,1.1161,37.4678,802.5,,,,assets/markers/elephant.png
Nkutoto Elmasuuti 4,1.12104,37.46904,800,Baboon(Lotim)-Frightened(Nkuureisho),assets/sounds/baboon-frightened-nktutoto-elmasuuti4.wav,assets/photos/nkutoto-elmasuuti4.jpg,assets/markers/baboon.png
Nkutoto Elmasuuti 3,1.12,37.46806,,,,,assets/markers/elephant.png
Lesiteti,1.12133,37.46534,,,,,assets/markers/elephant.png
Quarantine,1.12,37.46,,,,,assets/markers/elephant.png
Singing Wells 1,1.0438,37.4096,857.2,,,,assets/markers/elephant.png
Singing Wells 2,1.0444,37.4089,845.8,,,,assets/markers/elephant.png
Sarara Naado,1.0581,37.4077,845.6,Hyena(Lkonoi)-(NOT CONFIRMED!),assets/sounds/lkonoi.wav,assets/photos/sarara-naado.jpg,assets/markers/hyena.png
Lmurgusiani (Lturoto),1.0214,37.4019,845.6,,,,assets/markers/elephant.png
Nkongu,1.0142,37.4037,,,,,assets/markers/elephant.png
,,,,,,, 
